epoch,strategy,arm,current reward,cumulative reward,optimal
472,Explore,2,7.594799685370501,3197.5773283380818,False
473,Explore,0,8.200932831325325,3205.778261169407,False
474,Explore,9,6.125593689576094,3211.903854858983,False
475,Explore,2,8.778400510115135,3220.682255369098,False
476,Explore,7,1.808462467044403,3222.4907178361427,False
477,Explore,1,6.234481355914424,3228.725199192057,False
478,Explore,6,9.312253866334832,3238.0374530583917,False
479,Explore,6,9.446318522377231,3247.483771580769,False
480,Explore,0,7.902357364353501,3255.3861289451224,False
481,Explore,0,8.445902732484518,3263.832031677607,False
482,Explore,5,10.54238888579936,3274.3744205634066,False
483,Explore,10,13.517626337335393,3287.892046900742,True
484,Explore,5,9.195158929718229,3297.0872058304603,False
485,Explore,8,2.915678041340059,3300.0028838718003,False
486,Explore,2,7.779285154741027,3307.7821690265414,False
487,Explore,2,6.853014204846497,3314.635183231388,False
488,Explore,0,9.916572994951034,3324.551756226339,False
489,Explore,3,12.294572318036225,3336.8463285443754,False
490,Explore,5,9.718532165276235,3346.564860709652,False
491,Explore,10,10.327638779521541,3356.8924994891736,True
492,Explore,4,11.833902260836906,3368.7264017500106,False
493,Explore,7,4.6391427285676,3373.365544478578,False
494,Explore,4,11.896747762643727,3385.262292241222,False
495,Explore,3,10.61688113825956,3395.8791733794815,False
496,Explore,7,4.558245626850085,3400.4374190063318,False
497,Explore,1,7.0789051541958505,3407.516324160528,False
498,Explore,3,12.179523117337327,3419.695847277865,False
499,Explore,2,7.619931955352826,3427.315779233218,False
500,Explore,4,9.338830716553147,3436.6546099497714,False
501,Explore,9,4.533759930384888,3441.188369880156,False
502,Explore,0,9.563066483606217,3450.7514363637624,False
503,Explore,11,-0.43193658719321537,3450.319499776569,False
504,Explore,10,11.929133595288587,3462.2486333718575,True
505,Explore,0,8.779419790338057,3471.0280531621956,False
506,Explore,11,-1.0526151039898761,3469.975438058206,False
507,Explore,8,2.902555239600154,3472.877993297806,False
508,Explore,10,12.738010132927965,3485.616003430734,True
509,Explore,11,0.9367506288325811,3486.5527540595667,False
510,Explore,8,2.654699357336522,3489.2074534169033,False
511,Explore,4,8.38633071364982,3497.593784130553,False
512,Explore,3,12.602195404280682,3510.195979534834,False
513,Explore,3,10.357821693678652,3520.5538012285124,False
514,Explore,10,11.35583608128162,3531.909637309794,True
515,Explore,6,8.624429999205297,3540.5340673089995,False
516,Explore,3,10.812819872438114,3551.3468871814375,False
517,Explore,1,8.00405962620113,3559.3509468076386,False
518,Explore,0,9.282656974462675,3568.633603782101,False
519,Explore,8,1.8187404100848332,3570.452344192186,False
